layer,mode,auroc_mean,auroc_std,acc_mean,acc_std
0,last,0.5,0.0,0.6666666666666666,0.007022084070579068
1,last,0.9145729664414786,0.03736376950972928,0.8334841628959276,0.028207144571056456
2,last,0.9141055637941452,0.047631284061471435,0.8450226244343891,0.05066279466385649
3,last,0.9272862086010875,0.039716066974259896,0.8526395173453997,0.05069612482586334
4,last,0.9395463283352556,0.0342568329195449,0.8761689291101057,0.0332856958454567
5,last,0.936190476190476,0.026106420113813058,0.8838612368024134,0.029712849601299128
6,last,0.9404174218707089,0.0262244135760143,0.8721719457013574,0.026158168881539826
7,last,0.9268621958587356,0.026614650602989454,0.8527903469079939,0.0435193605263327
8,last,0.9251502169495248,0.023316625572974422,0.8448717948717949,0.0349818923559584
9,last,0.9449052562201352,0.021191238232694795,0.8761689291101057,0.037467259521907055
10,last,0.9754001208326468,0.01365153800068971,0.9147812971342384,0.028731942988761285
11,last,0.9783802932937882,0.012881515083208213,0.9147812971342383,0.015098031681740225
12,last,0.9713181743285549,0.015558591182420535,0.9031674208144796,0.016880786426748364
13,last,0.9669742406766627,0.015945909110520153,0.895475113122172,0.019059808503603937
14,last,0.964454879991212,0.02163361890856568,0.8991704374057315,0.019463151019106003
15,last,0.9662047564123689,0.020873833510485724,0.8993212669683258,0.022064462802907678
16,last,0.9844537815126051,0.008350038726787402,0.9496229260935143,0.00943318037669313
17,last,0.9871642774756962,0.007989281050753595,0.9496229260935143,0.019913786732195952
18,last,0.9897973306969847,0.00884023861967775,0.96131221719457,0.024507599390356804
19,last,0.9880968858131489,0.010357642336009071,0.9536953242835595,0.035636496636609664
20,last,0.9877508650519031,0.01057189782084312,0.9536953242835595,0.035636496636609664
21,last,0.9881067721206129,0.00987758389218545,0.9575414781297134,0.03306970406635438
22,last,0.989817103311913,0.008383915157934931,0.9536953242835595,0.039570416736455706
23,last,0.9901631240731588,0.008114364143319883,0.9536953242835595,0.039570416736455706
24,last,0.9874246169055858,0.010543347140165946,0.9575414781297134,0.03306970406635438
25,last,0.9891052891744934,0.009495261788005123,0.9419306184012066,0.03689085755012553
26,last,0.9894414236282749,0.009368422698618744,0.9419306184012066,0.03689085755012553
27,last,0.9884033613445379,0.010974674095673627,0.9341628959276018,0.041976710021028485
28,last,0.9847146701817981,0.012362841624233971,0.9380844645550528,0.03764580188952497
29,last,0.9816499148679079,0.014996961231207381,0.9108597285067873,0.03615082880743957
30,last,0.9803339374965672,0.013987128551976024,0.9070889894419306,0.03316758885972396
31,last,0.9783352556708957,0.012424020073180742,0.895475113122172,0.039772557352378037
32,last,0.9759240951282473,0.015623043202081473,0.891553544494721,0.0336324559913141
33,last,0.9746350304827812,0.011861434054808792,0.8838612368024134,0.032105800496362996
34,last,0.9746350304827814,0.012548142063524887,0.8721719457013574,0.019256629464258976
35,last,0.973250398198495,0.011035099746264813,0.8721719457013574,0.019256629464258976
36,last,0.9705690119184929,0.009251886100512663,0.8683257918552035,0.028206942940949897
0,mean,0.900246059207997,0.05209319215883759,0.7869532428355958,0.06079759874881931
1,mean,0.9078359971439556,0.049138160593610154,0.814027149321267,0.05963464065662773
2,mean,0.8960542648431922,0.06102086250031739,0.7906485671191554,0.07348488422424451
3,mean,0.9082764870654143,0.04818569974648653,0.8176470588235294,0.06385481357666156
4,mean,0.9187147800296589,0.047094301169132415,0.8411010558069382,0.06770281923962253
5,mean,0.9277596528807601,0.04033400077017779,0.8603318250377073,0.059954798561883044
6,mean,0.9212830230131267,0.038552273647210776,0.8295625942684767,0.05234187873856406
7,mean,0.915239742956006,0.03855474094664381,0.8217948717948719,0.053940076352073124
8,mean,0.9295759872576481,0.026089518852443063,0.8564856711915535,0.03431795177261711
9,mean,0.9293178447849728,0.025695083676369523,0.8373303167420815,0.049547913063609006
10,mean,0.9317800845828528,0.021733894453993728,0.8682503770739064,0.03348755978584492
11,mean,0.9334810787059922,0.02401489665014349,0.8683257918552035,0.03303769995383583
12,mean,0.9440396550777173,0.021615670279346338,0.8953996983408746,0.015224823013348395
13,mean,0.9480183445927389,0.01985634140868926,0.9032428355957768,0.020663650075414788
14,mean,0.9666024056681497,0.014708376241771744,0.9186274509803922,0.025888698255687164
15,mean,0.9733558521447796,0.010921078842113338,0.9187028657616894,0.022413039549421736
16,mean,0.9805036524413687,0.011758081812061855,0.9264705882352942,0.018635235090496065
17,mean,0.9817240621738892,0.013354887107051443,0.9341628959276018,0.026405514027063412
18,mean,0.9864239028944912,0.011549557029705273,0.9419306184012066,0.03263552332379508
19,mean,0.9843098808150712,0.01570429286444646,0.9457767722473605,0.03357304795163134
20,mean,0.98874883286648,0.0106326209590482,0.9457767722473605,0.039635041705680815
21,mean,0.9901526885263909,0.008043358304325995,0.9536199095022624,0.026189676250656612
22,mean,0.9898165540726094,0.008880600416214501,0.9536199095022624,0.026189676250656612
23,mean,0.9901428022189268,0.008488554046379295,0.9496983408748114,0.019586947910404717
24,mean,0.9897863459109134,0.009344102623170184,0.9457767722473605,0.022627450779312875
25,mean,0.9894502114571319,0.009542884817046923,0.9419306184012066,0.021211538431374143
26,mean,0.9887872796177295,0.00954845918449055,0.9458521870286576,0.018754793382471505
27,mean,0.989786895150217,0.009537184909624503,0.9457767722473605,0.022627450779312875
28,mean,0.990498160048333,0.007853884673827293,0.9457767722473605,0.022627450779312875
29,mean,0.9898445652770912,0.007432590692385258,0.9419306184012066,0.021211538431374143
30,mean,0.9895084308233096,0.007829218842879541,0.9380844645550528,0.022498897567378044
31,mean,0.9885000274619651,0.0092130235735135,0.9419306184012066,0.021211538431374143
32,mean,0.9898445652770912,0.007432590692385258,0.9341628959276018,0.015358715963231146
33,mean,0.9891525237545998,0.007421331550526279,0.9341628959276018,0.015358715963231146
34,mean,0.9891426374471358,0.00857492017195187,0.9419306184012066,0.021211538431374143
35,mean,0.9928604382929642,0.006355522880053252,0.9534690799396681,0.019986482194893927
36,mean,0.9907749766573296,0.010398224605096594,0.9573906485671191,0.025925579263692825
